state,state.po,county,FIPS,candidatevotesR,totalvotes,fracvotesR,partywonR
Texas,TX,Winkler,48495,1403,1876,0.747867804,1
Texas,TX,Wise,48497,20670,24776,0.834275105,1
Texas,TX,Wood,48499,15700,18727,0.838361724,1
Texas,TX,Yoakum,48501,1797,2303,0.780286583,1
Texas,TX,Young,48503,6601,7707,0.856494096,1
Texas,TX,Zapata,48505,1029,3142,0.327498409,0
Texas,TX,Zavala,48507,694,3396,0.204358068,0
Utah,UT,Beaver,49001,1838,2491,0.737856283,1
Utah,UT,Box Elder,49003,12230,19735,0.619711173,1
Utah,UT,Cache,49005,21139,46157,0.457980371,1
Utah,UT,Carbon,49007,5275,7952,0.663355131,1
Utah,UT,Daggett,49009,331,474,0.698312236,1
Utah,UT,Davis,49011,62219,138411,0.449523521,1
Utah,UT,Duchesne,49013,5508,6942,0.793431288,1
Utah,UT,Emery,49015,3425,4289,0.798554442,1
Utah,UT,Garfield,49017,1606,2344,0.685153584,1
Utah,UT,Grand,49019,1975,4533,0.435693801,1
Utah,UT,Iron,49021,11561,17654,0.654865753,1
Utah,UT,Juab,49023,2827,4177,0.676801532,1
Utah,UT,Kane,49025,2265,3505,0.646219686,1
Utah,UT,Millard,49027,3860,5242,0.736360168,1
Utah,UT,Morgan,49029,3188,5192,0.614021572,1
Utah,UT,Piute,49031,626,729,0.858710562,1
Utah,UT,Rich,49033,797,1109,0.718665464,1
Utah,UT,Salt Lake,49035,138043,418868,0.329562058,0
Utah,UT,San Juan,49037,2645,5447,0.485588397,1
Utah,UT,Sanpete,49039,6673,10164,0.656532861,1
Utah,UT,Sevier,49041,6740,8654,0.778830599,1
Utah,UT,Summit,49043,7333,20641,0.355263795,0
Utah,UT,Tooele,49045,11169,21829,0.511658803,1
Utah,UT,Uintah,49047,9810,12797,0.766585919,1
Utah,UT,Utah,49049,102182,201551,0.506978383,1
Utah,UT,Wasatch,49051,6115,12120,0.504537954,1
Utah,UT,Washington,49053,42650,61963,0.688313994,1
Utah,UT,Wayne,49055,966,1421,0.679802956,1
Utah,UT,Weber,49057,40235,85039,0.473135855,1
Vermont,VT,Addison,50001,5297,19031,0.278335348,0
Vermont,VT,Bennington,50003,5925,17381,0.340889477,0
Vermont,VT,Caledonia,50005,5534,14075,0.393179396,0
Vermont,VT,Chittenden,50007,18601,83418,0.222985447,0
Vermont,VT,Essex,50009,1506,2925,0.514871795,1
Vermont,VT,Franklin,50011,8752,21411,0.408761851,0
Vermont,VT,Grand Isle,50013,1487,4110,0.361800487,0
Vermont,VT,Lamoille,50015,3570,12762,0.279736718,0
Vermont,VT,Orange,50017,5007,14649,0.341798075,0
Vermont,VT,Orleans,50019,5159,12047,0.428239396,0
Vermont,VT,Rutland,50021,12479,29619,0.421317398,0
Vermont,VT,Washington,50023,7993,31086,0.257125394,0
Vermont,VT,Windham,50025,5454,22635,0.240954274,0
Vermont,VT,Windsor,50027,8605,29928,0.287523389,0
Virginia,VA,Accomack,51001,8583,15818,0.542609685,1
Virginia,VA,Albemarle,51003,19259,56726,0.33950922,0
Virginia,VA,Alleghany,51005,4874,7325,0.665392491,1
Virginia,VA,Amelia,51007,4708,7040,0.66875,1
Virginia,VA,Amherst,51009,9719,15396,0.631267862,1
Virginia,VA,Appomattox,51011,5715,8011,0.713394083,1
Virginia,VA,Arlington,51013,20186,121356,0.166337058,0
